#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
81,Estonia,"529,793","+1,891","2,346",+9,"427,010","+3,959","100,437",22,"398,928","1,767","3,171,371","2,388,007","1,328,041"
82,Venezuela,"517,999",,"5,656",,"508,885",,"3,458",230,"18,304",200,"3,359,014","118,693","28,299,936"
83,Moldova,"507,028",,"11,333",,"488,198",,"7,497",91,"126,185","2,820","3,075,370","765,372","4,018,137"
84,Libya,"499,767",,"6,336",,"481,778",,"11,653",123,"71,101",901,"2,451,379","348,754","7,028,959"
85,Egypt,"495,373",,"24,277",,"424,831",,"46,265",122,"4,691",230,"3,693,367","34,978","105,590,369"
86,Ethiopia,"469,153",,"7,484",,"421,433",,"40,236",53,"3,917",62,"4,559,980","38,074","119,765,656"
87,Mongolia,"466,817",+175,"2,177",,"313,256",,"151,384",192,"138,630",647,"4,030,048","1,196,797","3,367,362"
88,Armenia,"421,953",+111,"8,570",+2,"408,215",+282,"5,168",,"141,948","2,883","2,933,020","986,688","2,972,592"
89,Honduras,"414,714",,"10,812",,"129,792",,"274,110",105,"40,777","1,063","1,263,329","124,216","10,170,392"
90,Oman,"386,003",,"4,250",,"377,476",,"4,277",29,"72,480",798,"25,000,000","4,694,282","5,325,628"
91,Bosnia and Herzegovina,"373,105",,"15,614",,"192,218",,"165,273",,"114,930","4,810","1,725,264","531,444","3,246,372"
92,Qatar,"358,946",,674,,"356,884",,"1,388",,"127,839",240,"3,391,376","1,207,839","2,807,805"
93,Cyprus,"347,876",,895,,"124,370",,"222,611",60,"284,632",732,"9,477,138","7,754,201","1,222,194"
94,New Zealand,"347,576","+18,740",93,+2,"141,078","+22,195","206,405",,"69,486",19,"6,835,218","1,366,470","5,002,100"
95,Kenya,"323,160",,"5,644",,"317,465",,51,1,"5,795",101,"3,429,326","61,492","55,768,960"
96,Zambia,"315,148",+162,"3,960",,"309,522",+186,"1,666",3,"16,370",206,"3,309,234","171,890","19,252,003"
97,Réunion,"310,181",,680,,"298,082",,"11,419",41,"342,327",750,"1,498,366","1,653,650","906,096"
98,North Macedonia,"301,016",,"9,123",,"289,847",,"2,046",,"144,495","4,379","1,904,444","914,178","2,083,230"
99,Albania,"272,552",,"3,485",,"268,093",,974,13,"94,883","1,213","1,758,227","612,091","2,872,493"
100,Algeria,"265,391",,"6,861",,"178,008",,"80,522",13,"5,873",152,"230,861","5,109","45,186,873"
101,Botswana,"263,950",,"2,619",,"259,434",,"1,897",1,"108,545","1,077","2,026,898","833,525","2,431,719"
102,Nigeria,"254,894",,"3,142",,"249,326",,"2,426",11,"1,187",15,"4,519,905","21,047","214,755,312"
103,Zimbabwe,"242,069",,"5,412",,"231,438",,"5,219",12,"15,896",355,"2,128,873","139,800","15,227,999"
104,Uzbekistan,"237,169",+40,"1,637",,"234,538",+91,994,23,"6,917",48,"1,377,915","40,187","34,287,662"
105,Montenegro,"231,391",,"2,692",,"227,870",,829,60,"368,340","4,285","1,185,660","1,887,393","628,200"
106,Mozambique,"225,165",,"2,198",,"221,955",,"1,012",13,"6,879",67,"1,282,207","39,173","32,731,811"
107,Kyrgyzstan,"200,720",+13,"2,972",+1,"195,820",+34,"1,928",131,"29,932",443,"1,907,195","284,410","6,705,798"
108,Luxembourg,"191,964",,"1,004",,"180,078",,"10,882",4,"298,470","1,561","4,099,088","6,373,357","643,160"
109,Afghanistan,"176,039",+58,"7,641",+1,"158,356",+49,"10,042","1,124","4,357",189,"903,192","22,352","40,406,958"
110,Maldives,"174,163",,297,,"159,621",,"14,245",25,"312,902",534,"2,210,061","3,970,609","556,605"
111,Uganda,"163,462",,"3,594",,"100,108",,"59,760",11,"3,393",75,"2,494,741","51,784","48,176,005"
112,Ghana,"160,693",,"1,445",,"159,079",,169,1,"4,996",45,"2,365,638","73,542","32,166,969"
113,Iceland,"158,533",,79,,"75,685",,"82,769",4,"459,541",229,"1,820,155","5,276,102","344,981"
114,Namibia,"157,366",,"4,014",,"153,069",,283,1,"60,097","1,533","964,061","368,168","2,618,533"
115,El Salvador,"156,364",,"4,095",,"132,410",,"19,859",153,"23,904",626,"1,758,939","268,891","6,541,447"
116,Laos,"145,934",+427,641,+1,"7,660",,"137,633",,"19,579",86,"1,002,806","134,538","7,453,701"
117,Cambodia,"133,943",+205,"3,046",+1,"128,623",+323,"2,274",,"7,829",178,"2,895,579","169,239","17,109,398"
118,Trinidad and Tobago,"132,383",,"3,676",,"108,546",,"20,161",18,"94,080","2,612","647,371","460,062","1,407,138"
119,Guadeloupe,"130,705",,843,,"2,250",,"127,612",19,"326,567","2,106","938,039","2,343,697","400,239"
120,Rwanda,"129,589",,"1,458",,"45,522",,"82,609",,"9,604",108,"4,959,057","367,511","13,493,643"
121,Jamaica,"128,318",,"2,839",,"79,233",,"46,246",25,"43,017",952,"875,832","293,609","2,982,983"
122,Martinique,"126,221",,900,,104,,"125,217",10,"336,792","2,401","738,299","1,969,985","374,774"
123,Cameroon,"119,322",,"1,926",,"117,263",,133,13,"4,314",70,"1,751,774","63,332","27,660,153"
124,Brunei,"109,538","+2,602",163,+5,"73,919","+5,155","35,456",26,"246,403",367,"717,784","1,614,634","444,549"
125,Angola,"98,855",,"1,900",,"96,817",,138,,"2,858",55,"1,453,019","42,007","34,589,663"
126,DRC,"86,315",,"1,335",,"50,930",,"34,050",,917,14,"846,704","8,993","94,151,466"
